,Time,Temporada,Rodada,Adversario,Vencedor,Mando_de_campo,Mandante Placar,Visitante Placar,Posicao,Pontos,Vitoria,Derrota,Empate,Gols_pro,Gols_contra,Saldo_de_gols,Vitorias_consecutivas,Derrotas_consecutivas,Jogos_marcando,Jogos_sem_sofrer_gols
0,cruzeiro,2008,1,vitória,cruzeiro,-1,0,2,0,3,1,0,0,2,0,2,1,0,1,1
1,botafogo-rj,2008,1,sport,botafogo-rj,1,2,0,0,3,1,0,0,2,0,2,1,0,1,1
2,coritiba,2008,1,palmeiras,coritiba,1,2,0,0,3,1,0,0,2,0,2,1,0,1,1
3,flamengo,2008,1,santos,flamengo,1,3,1,0,3,1,0,0,3,1,2,1,0,1,-1
4,grêmio,2008,1,são paulo,grêmio,-1,0,1,0,3,1,0,0,1,0,1,1,0,1,1
5,athlético-pr,2008,1,ipatinga,athlético-pr,-1,0,1,0,3,1,0,0,1,0,1,1,0,1,1
6,náutico,2008,1,goiás,náutico,1,2,1,0,3,1,0,0,2,1,1,1,0,1,-1
7,internacional,2008,1,vasco,internacional,1,1,0,0,3,1,0,0,1,0,1,1,0,1,1
8,figueirense,2008,1,portuguesa,-,-1,5,5,0,1,0,0,1,5,5,0,0,0,1,-1
9,fluminense,2008,1,atlético-mg,-,-1,0,0,0,1,0,0,1,0,0,0,0,0,-1,1
10,portuguesa,2008,1,figueirense,-,1,5,5,0,1,0,0,1,5,5,0,0,0,1,-1
11,atlético-mg,2008,1,fluminense,-,1,0,0,0,1,0,0,1,0,0,0,0,0,-1,1
12,goiás,2008,1,náutico,náutico,-1,2,1,0,0,0,1,0,1,2,-1,0,1,1,-1
13,vasco,2008,1,internacional,internacional,-1,1,0,0,0,0,1,0,0,1,-1,0,1,-1,-1
14,são paulo,2008,1,grêmio,grêmio,1,0,1,0,0,0,1,0,0,1,-1,0,1,-1,-1
15,ipatinga,2008,1,athlético-pr,athlético-pr,1,0,1,0,0,0,1,0,0,1,-1,0,1,-1,-1
16,sport,2008,1,botafogo-rj,botafogo-rj,-1,2,0,0,0,0,1,0,0,2,-2,0,1,-1,-1
17,palmeiras,2008,1,coritiba,coritiba,-1,2,0,0,0,0,1,0,0,2,-2,0,1,-1,-1
18,santos,2008,1,flamengo,flamengo,-1,3,1,0,0,0,1,0,1,3,-2,0,1,1,-1
19,vitória,2008,1,cruzeiro,cruzeiro,1,0,2,0,0,0,1,0,0,2,-2,0,1,-1,-1
20,náutico,2008,2,fluminense,náutico,-1,0,2,0,6,2,0,0,4,1,3,2,0,2,0
21,cruzeiro,2008,2,botafogo-rj,cruzeiro,1,1,0,0,6,2,0,0,3,0,3,2,0,2,1
22,flamengo,2008,2,grêmio,-,-1,0,0,0,4,1,0,1,3,1,2,0,0,-1,0
23,grêmio,2008,2,flamengo,-,1,0,0,0,4,1,0,1,1,0,1,0,0,-1,1
24,athlético-pr,2008,2,são paulo,-,1,1,1,0,4,1,0,1,2,1,1,0,0,2,-1
25,figueirense,2008,2,coritiba,figueirense,1,2,1,0,4,1,0,1,7,6,1,1,0,2,-2
26,santos,2008,2,ipatinga,santos,1,4,0,0,3,1,1,0,5,3,2,1,0,2,1
27,coritiba,2008,2,figueirense,figueirense,-1,2,1,0,3,1,1,0,3,2,1,0,1,2,-1
28,botafogo-rj,2008,2,cruzeiro,cruzeiro,-1,1,0,0,3,1,1,0,2,1,1,0,1,-1,-1
29,internacional,2008,2,palmeiras,palmeiras,-1,2,1,0,3,1,1,0,2,2,0,0,1,2,-1
30,palmeiras,2008,2,internacional,palmeiras,1,2,1,0,3,1,1,0,2,3,-1,1,0,1,-2
31,atlético-mg,2008,2,goiás,-,-1,1,1,0,2,0,0,2,1,1,0,0,0,1,-1
32,portuguesa,2008,2,vasco,-,-1,3,1,0,2,0,0,2,6,8,-2,0,0,2,-2
33,vasco,2008,2,portuguesa,-,1,3,1,0,1,0,1,1,3,2,1,0,0,1,-2
34,são paulo,2008,2,athlético-pr,-,-1,1,1,0,1,0,1,1,1,2,-1,0,0,1,-2
35,goiás,2008,2,atlético-mg,-,1,1,1,0,1,0,1,1,2,3,-1,0,0,2,-2
36,vitória,2008,2,sport,-,-1,0,0,0,1,0,1,1,0,2,-2,0,0,-2,0
37,fluminense,2008,2,náutico,náutico,1,0,2,0,1,0,1,1,0,2,-2,0,1,-2,-1
38,sport,2008,2,vitória,-,1,0,0,0,1,0,1,1,0,2,-2,0,0,-2,1
39,ipatinga,2008,2,santos,santos,-1,4,0,0,0,0,2,0,0,5,-5,0,2,-2,-2
40,cruzeiro,2008,3,santos,cruzeiro,1,4,0,0,9,3,0,0,7,0,7,3,0,3,1
41,flamengo,2008,3,internacional,flamengo,1,2,1,0,7,2,0,1,5,2,3,1,0,1,-1
42,grêmio,2008,3,náutico,grêmio,1,2,0,0,7,2,0,1,3,0,3,1,0,1,1
43,náutico,2008,3,grêmio,grêmio,-1,2,0,0,6,2,1,0,4,3,1,0,1,-1,-1
44,athlético-pr,2008,3,atlético-mg,-,1,1,1,0,5,1,0,2,3,2,1,0,0,3,-2
45,vitória,2008,3,figueirense,vitória,1,4,0,0,4,1,1,1,4,2,2,1,0,1,1
46,coritiba,2008,3,são paulo,-,-1,1,1,0,4,1,1,1,4,3,1,0,0,3,-2
47,botafogo-rj,2008,3,vasco,-,1,1,1,0,4,1,1,1,3,2,1,0,0,1,-2
48,palmeiras,2008,3,portuguesa,-,-1,1,1,0,4,1,1,1,3,4,-1,0,0,2,-3
49,sport,2008,3,fluminense,sport,1,2,1,0,4,1,1,1,2,3,-1,1,0,1,-1
50,figueirense,2008,3,vitória,vitória,-1,4,0,0,4,1,1,1,7,10,-3,0,1,-1,-3
51,internacional,2008,3,flamengo,flamengo,-1,2,1,0,3,1,2,0,3,4,-1,0,2,3,-2
52,santos,2008,3,cruzeiro,cruzeiro,-1,4,0,0,3,1,2,0,5,7,-2,0,1,-1,-1
53,atlético-mg,2008,3,athlético-pr,-,-1,1,1,0,3,0,0,3,2,2,0,0,0,2,-2
54,portuguesa,2008,3,palmeiras,-,1,1,1,0,3,0,0,3,7,9,-2,0,0,3,-3
55,vasco,2008,3,botafogo-rj,-,-1,1,1,0,2,0,1,2,4,3,1,0,0,2,-3
56,são paulo,2008,3,coritiba,-,1,1,1,0,2,0,1,2,2,3,-1,0,0,2,-3
57,goiás,2008,3,ipatinga,-,1,1,1,0,2,0,1,2,3,4,-1,0,0,3,-3
58,fluminense,2008,3,sport,sport,-1,2,1,0,1,0,2,1,1,4,-3,0,2,1,-2
59,ipatinga,2008,3,goiás,-,-1,1,1,0,1,0,2,1,1,6,-5,0,0,1,-3
60,cruzeiro,2008,4,coritiba,-,-1,1,1,0,10,3,0,1,8,1,7,0,0,4,-1
61,flamengo,2008,4,fluminense,flamengo,-1,0,1,0,10,3,0,1,6,2,4,2,0,2,0
62,náutico,2008,4,botafogo-rj,náutico,1,3,0,0,9,3,1,0,7,3,4,1,0,1,1
63,grêmio,2008,4,vasco,vasco,-1,2,1,0,7,2,1,1,4,2,2,0,1,2,-1
64,palmeiras,2008,4,athlético-pr,palmeiras,1,1,0,0,7,2,1,1,4,4,0,1,0,3,1
65,atlético-mg,2008,4,portuguesa,atlético-mg,1,2,0,0,6,1,0,3,4,2,2,1,0,3,1
66,vasco,2008,4,grêmio,vasco,1,2,1,0,5,1,1,2,6,4,2,1,0,3,-4
67,coritiba,2008,4,cruzeiro,-,1,1,1,0,5,1,1,2,5,4,1,0,0,4,-3
68,athlético-pr,2008,4,palmeiras,palmeiras,-1,1,0,0,5,1,1,2,3,3,0,0,1,-1,-3
69,sport,2008,4,internacional,-,-1,1,1,0,5,1,1,2,3,4,-1,0,0,2,-2
70,figueirense,2008,4,goiás,-,1,0,0,0,5,1,1,2,7,10,-3,0,0,-2,1
71,vitória,2008,4,ipatinga,ipatinga,-1,2,0,0,4,1,2,1,4,4,0,0,1,-1,-1
72,internacional,2008,4,sport,-,1,1,1,0,4,1,2,1,4,5,-1,0,0,4,-3
73,botafogo-rj,2008,4,náutico,náutico,-1,3,0,0,4,1,2,1,3,5,-2,0,1,-1,-3
74,santos,2008,4,são paulo,-,1,0,0,0,4,1,2,1,5,7,-2,0,0,-2,1
75,ipatinga,2008,4,vitória,ipatinga,1,2,0,0,4,1,2,1,3,6,-3,1,0,2,1
76,goiás,2008,4,figueirense,-,-1,0,0,0,3,0,1,3,3,4,-1,0,0,-1,-2
