Time,Temporada,Rodada,Posicao,Pontos,Vitoria,Derrota,Empate,Gols_pro,Gols_contra,Saldo_de_gols,Vitorias_consecutivas,Derrotas_consecutivas,Jogos_marcando,Jogos_sem_sofrer_gols
fluminense,2008,1,0,1,0,0,1,0,0,0,0,0,-1,1
botafogo-rj,2008,1,0,3,1,0,0,2,0,2,1,0,1,1
coritiba,2008,1,0,3,1,0,0,2,0,2,1,0,1,1
flamengo,2008,1,0,3,1,0,0,3,1,2,1,0,1,-1
internacional,2008,1,0,3,1,0,0,1,0,1,1,0,1,1
athlético-pr,2008,1,0,3,1,0,0,1,0,1,1,0,1,1
náutico,2008,1,0,3,1,0,0,2,1,1,1,0,1,-1
figueirense,2008,1,0,1,0,0,1,5,5,0,0,0,1,-1
grêmio,2008,1,0,3,1,0,0,1,0,1,1,0,1,1
cruzeiro,2008,1,0,3,1,0,0,2,0,2,1,0,1,1
athlético-pr,2008,2,0,4,1,0,1,2,1,1,0,0,2,-1
cruzeiro,2008,2,0,6,2,0,0,3,0,3,2,0,2,1
figueirense,2008,2,0,4,1,0,1,7,6,1,1,0,2,-2
náutico,2008,2,0,6,2,0,0,4,1,3,2,0,2,0
atlético-mg,2008,2,0,2,0,0,2,1,1,0,0,0,1,-1
flamengo,2008,2,0,4,1,0,1,3,1,2,0,0,-1,0
internacional,2008,2,0,3,1,1,0,2,2,0,0,1,2,-1
santos,2008,2,0,3,1,1,0,5,3,2,1,0,2,1
vitória,2008,2,0,1,0,1,1,0,2,-2,0,0,-2,0
portuguesa,2008,2,0,2,0,0,2,6,8,-2,0,0,2,-2
athlético-pr,2008,3,0,5,1,0,2,3,2,1,0,0,3,-2
botafogo-rj,2008,3,0,4,1,1,1,3,2,1,0,0,1,-2
cruzeiro,2008,3,0,9,3,0,0,7,0,7,3,0,3,1
flamengo,2008,3,0,7,2,0,1,5,2,3,1,0,1,-1
goiás,2008,3,0,2,0,1,2,3,4,-1,0,0,3,-3
grêmio,2008,3,0,7,2,0,1,3,0,3,1,0,1,1
palmeiras,2008,3,0,4,1,1,1,3,4,-1,0,0,2,-3
sport,2008,3,0,4,1,1,1,2,3,-1,1,0,1,-1
coritiba,2008,3,0,4,1,1,1,4,3,1,0,0,3,-2
vitória,2008,3,0,4,1,1,1,4,2,2,1,0,1,1
atlético-mg,2008,4,0,6,1,0,3,4,2,2,1,0,3,1
cruzeiro,2008,4,0,10,3,0,1,8,1,7,0,0,4,-1
figueirense,2008,4,0,5,1,1,2,7,10,-3,0,0,-2,1
flamengo,2008,4,0,10,3,0,1,6,2,4,2,0,2,0
sport,2008,4,0,5,1,1,2,3,4,-1,0,0,2,-2
vitória,2008,4,0,4,1,2,1,4,4,0,0,1,-1,-1
náutico,2008,4,0,9,3,1,0,7,3,4,1,0,1,1
palmeiras,2008,4,0,7,2,1,1,4,4,0,1,0,3,1
santos,2008,4,0,4,1,2,1,5,7,-2,0,0,-2,1
grêmio,2008,4,0,7,2,1,1,4,2,2,0,1,2,-1
athlético-pr,2008,5,0,8,2,1,2,8,3,5,1,0,1,1
botafogo-rj,2008,5,0,7,2,2,1,5,6,-1,1,0,1,-4
cruzeiro,2008,5,0,13,4,0,1,9,1,8,1,0,5,1
flamengo,2008,5,0,13,4,0,1,11,2,9,3,0,3,1
grêmio,2008,5,0,10,3,1,1,6,3,3,1,0,3,-2
náutico,2008,5,0,10,3,1,1,7,3,4,0,0,-1,1
portuguesa,2008,5,0,6,1,1,3,10,12,-2,1,0,1,-5
sport,2008,5,0,8,2,1,2,5,4,1,1,0,3,1
são paulo,2008,5,0,6,1,1,3,7,4,3,1,0,1,-3
vitória,2008,5,0,7,2,2,1,5,4,1,1,0,1,1
atlético-mg,2008,6,0,9,2,1,3,9,9,0,1,0,5,-2
vitória,2008,6,0,8,2,2,2,5,4,1,0,0,-1,1
sport,2008,6,0,8,2,2,2,6,7,-1,0,1,4,-1
flamengo,2008,6,0,13,4,1,1,13,6,7,0,1,4,-1
santos,2008,6,0,5,1,3,2,6,9,-3,0,0,1,-2
grêmio,2008,6,0,13,4,1,1,9,3,6,2,0,4,-1
botafogo-rj,2008,6,0,7,2,3,1,6,8,-2,0,1,2,-5
náutico,2008,6,0,11,3,1,2,8,4,4,0,0,1,-1
cruzeiro,2008,6,0,13,4,1,1,11,6,5,0,1,6,-1
portuguesa,2008,6,0,9,2,1,3,11,12,-1,2,0,2,1
portuguesa,2008,7,0,12,3,1,3,12,12,0,3,0,3,1
coritiba,2008,7,0,9,2,2,3,8,7,1,1,0,1,-1
cruzeiro,2008,7,0,16,5,1,1,14,6,8,1,0,7,1
grêmio,2008,7,0,16,5,1,1,12,3,9,3,0,5,1
flamengo,2008,7,0,16,5,1,1,16,7,9,1,0,5,-2
náutico,2008,7,0,14,4,1,2,10,5,5,1,0,2,-2
goiás,2008,7,0,6,1,3,3,7,12,-5,1,0,1,-3
são paulo,2008,7,0,12,3,1,3,12,6,6,3,0,3,1
palmeiras,2008,7,0,13,4,2,1,11,8,3,2,0,2,-1
vitória,2008,7,0,11,3,2,2,7,5,2,1,0,1,-1
coritiba,2008,8,0,10,2,2,4,9,8,1,0,0,2,-2
cruzeiro,2008,8,0,17,5,1,2,15,7,8,0,0,8,-1
atlético-mg,2008,8,0,10,2,2,4,11,12,-1,0,0,7,-4
botafogo-rj,2008,8,0,8,2,4,2,6,9,-3,0,0,-2,-5
grêmio,2008,8,0,17,5,1,2,13,4,9,0,0,6,-1
palmeiras,2008,8,0,16,5,2,1,13,8,5,3,0,3,1
portuguesa,2008,8,0,13,3,1,4,12,12,0,0,0,-1,1
flamengo,2008,8,0,19,6,1,1,18,8,10,2,0,6,-3
vasco,2008,8,0,9,2,3,3,11,10,1,1,0,1,-8
vitória,2008,8,0,14,4,2,2,10,5,5,2,0,2,1
athlético-pr,2008,9,0,12,3,3,3,10,8,2,1,0,2,1
palmeiras,2008,9,0,17,5,2,2,14,9,5,0,0,4,-1
grêmio,2008,9,0,17,5,2,2,13,6,7,0,1,-1,-2
figueirense,2008,9,0,12,3,3,3,13,21,-8,1,0,2,-5
flamengo,2008,9,0,22,7,1,1,21,8,13,3,0,7,1
goiás,2008,9,0,9,2,4,3,8,15,-7,1,0,1,1
internacional,2008,9,0,11,3,4,2,12,12,0,1,0,9,1
vitória,2008,9,0,17,5,2,2,12,6,6,3,0,3,-1
cruzeiro,2008,9,0,17,5,2,2,15,8,7,0,1,-1,-2
são paulo,2008,9,0,14,3,1,5,14,8,6,0,0,5,-2
flamengo,2008,10,0,23,7,1,2,22,9,13,0,0,8,-1
coritiba,2008,10,0,13,3,3,4,13,11,2,1,0,1,1
athlético-pr,2008,10,0,12,3,4,3,10,11,-1,0,1,-1,-1
internacional,2008,10,0,14,4,4,2,13,12,1,2,0,10,1
cruzeiro,2008,10,0,18,5,2,3,17,10,7,0,0,1,-3
náutico,2008,10,0,17,5,3,2,12,11,1,1,0,1,-5
palmeiras,2008,10,0,18,5,2,3,15,10,5,0,0,5,-2
grêmio,2008,10,0,18,5,2,3,14,7,7,0,0,1,-3
vasco,2008,10,0,12,3,4,3,16,12,4,1,0,3,1
vitória,2008,10,0,20,6,2,2,17,8,9,4,0,4,-2
internacional,2008,11,0,15,4,4,3,14,13,1,0,0,11,-1
cruzeiro,2008,11,0,21,6,2,3,19,11,8,1,0,2,-4
flamengo,2008,11,0,26,8,1,2,25,10,15,1,0,9,-2
vitória,2008,11,0,20,6,3,2,18,10,8,0,1,5,-3
coritiba,2008,11,0,14,3,3,5,15,13,2,0,0,2,-1
grêmio,2008,11,0,21,6,2,3,16,8,8,1,0,2,-4
figueirense,2008,11,0,16,4,3,4,15,22,-7,1,0,4,-5
náutico,2008,11,0,17,5,4,2,12,13,-1,0,1,-1,-6
botafogo-rj,2008,11,0,12,3,5,3,12,16,-4,0,0,3,-2
palmeiras,2008,11,0,18,5,3,3,16,12,4,0,1,6,-3
botafogo-rj,2008,12,0,15,4,5,3,16,16,0,1,0,4,1
flamengo,2008,12,0,26,8,2,2,25,11,14,0,1,-1,-3
cruzeiro,2008,12,0,24,7,2,3,20,11,9,2,0,3,1
figueirense,2008,12,0,19,5,3,4,18,22,-4,2,0,5,1
internacional,2008,12,0,18,5,4,3,15,13,2,1,0,12,1
palmeiras,2008,12,0,21,6,3,3,19,13,6,1,0,7,-4
náutico,2008,12,0,17,5,5,2,14,16,-2,0,2,1,-7
grêmio,2008,12,0,22,6,2,4,18,10,8,0,0,3,-5
vasco,2008,12,0,13,3,5,4,18,16,2,0,0,5,-2
vitória,2008,12,0,20,6,4,2,19,13,6,0,2,6,-4
athlético-pr,2008,13,0,16,4,5,4,14,14,0,1,0,1,-4
coritiba,2008,13,0,17,4,4,5,18,16,2,0,1,4,-1
flamengo,2008,13,0,26,8,3,2,25,12,13,0,2,-2,-4
figueirense,2008,13,0,19,5,4,4,18,23,-5,0,1,-1,-1
palmeiras,2008,13,0,21,6,4,3,21,16,5,0,1,8,-5
grêmio,2008,13,0,25,7,2,4,19,10,9,1,0,4,1
portuguesa,2008,13,0,16,4,5,4,18,26,-8,0,1,3,-5
internacional,2008,13,0,19,5,4,4,16,14,2,0,0,13,-1
sport,2008,13,0,15,4,6,3,12,17,-5,0,1,-1,-2
são paulo,2008,13,0,23,6,2,5,22,13,9,3,0,9,-6
botafogo-rj,2008,14,0,18,5,6,3,21,18,3,1,0,6,1
coritiba,2008,14,0,20,5,4,5,19,16,3,1,0,5,1
cruzeiro,2008,14,0,24,7,4,3,20,13,7,0,2,-2,-2
grêmio,2008,14,0,28,8,2,4,26,11,15,2,0,5,-1
são paulo,2008,14,0,23,6,3,5,22,15,7,0,1,-1,-7
palmeiras,2008,14,0,24,7,4,3,25,18,7,1,0,9,-6
flamengo,2008,14,0,27,8,3,3,27,14,13,0,0,1,-5
sport,2008,14,0,18,5,6,3,13,17,-4,1,0,1,1
vasco,2008,14,0,14,3,6,5,22,22,0,0,0,7,-4
vitória,2008,14,0,26,8,4,2,22,13,9,2,0,8,1
figueirense,2008,15,0,20,5,5,5,19,30,-11,0,0,-1,-1
vitória,2008,15,0,26,8,5,2,23,15,8,0,1,9,-1
flamengo,2008,15,0,28,8,3,4,27,14,13,0,0,-1,1
cruzeiro,2008,15,0,27,8,4,3,23,14,9,1,0,1,-3
sport,2008,15,0,21,6,6,3,15,18,-3,2,0,2,-1
grêmio,2008,15,0,29,8,2,5,27,12,15,0,0,6,-2
internacional,2008,15,0,22,6,5,4,18,15,3,0,1,-1,-1
coritiba,2008,15,0,23,6,4,5,21,17,4,2,0,6,-1
vasco,2008,15,0,14,3,7,5,24,27,-3,0,1,8,-5
são paulo,2008,15,0,26,7,3,5,25,16,9,1,0,1,-8
botafogo-rj,2008,16,0,22,6,6,4,23,18,5,1,0,1,1
grêmio,2008,16,0,32,9,2,5,28,12,16,1,0,7,-1
cruzeiro,2008,16,0,30,9,4,3,27,16,11,2,0,2,-4
são paulo,2008,16,0,27,7,3,6,26,17,9,0,0,2,-9
internacional,2008,16,0,22,6,6,4,18,16,2,0,2,-2,-2
flamengo,2008,16,0,28,8,4,4,27,15,12,0,1,-2,-1
portuguesa,2008,16,0,20,5,6,5,24,32,-8,1,0,6,-8
sport,2008,16,0,24,7,6,3,18,19,-1,3,0,3,-2
atlético-mg,2008,16,0,18,4,6,6,20,30,-10,0,1,2,-12
vitória,2008,16,0,29,9,5,2,25,16,9,1,0,10,-2
botafogo-rj,2008,17,0,25,7,6,4,26,18,8,2,0,2,1
sport,2008,17,0,24,7,7,3,19,21,-2,0,1,4,-3
cruzeiro,2008,17,0,33,10,4,3,29,17,12,3,0,3,-5
internacional,2008,17,0,25,7,6,4,20,17,3,1,0,1,-3
goiás,2008,17,0,20,5,7,5,20,25,-5,1,0,1,1
grêmio,2008,17,0,35,10,2,5,30,12,18,2,0,8,1
palmeiras,2008,17,0,31,9,4,4,29,20,9,2,0,12,-1
figueirense,2008,17,0,24,6,5,6,22,32,-10,1,0,2,-3
coritiba,2008,17,0,26,7,5,5,24,19,5,1,0,1,-3
são paulo,2008,17,0,30,8,3,6,30,17,13,1,0,3,1
athlético-pr,2008,18,0,20,5,8,5,17,20,-3,1,0,1,1
cruzeiro,2008,18,0,36,11,4,3,31,17,14,4,0,4,1
botafogo-rj,2008,18,0,28,8,6,4,28,19,9,3,0,3,-1
são paulo,2008,18,0,30,8,4,6,31,20,11,0,1,4,-1
flamengo,2008,18,0,28,8,6,4,29,19,10,0,3,2,-3
grêmio,2008,18,0,38,11,2,5,31,12,19,3,0,9,1
palmeiras,2008,18,0,34,10,4,4,32,20,12,3,0,13,1
atlético-mg,2008,18,0,24,6,6,6,25,33,-8,2,0,4,-14
sport,2008,18,0,27,8,7,3,21,21,0,1,0,5,1
coritiba,2008,18,0,29,8,5,5,26,19,7,2,0,2,-2
grêmio,2008,19,0,41,12,2,5,35,12,23,4,0,10,1
palmeiras,2008,19,0,34,10,5,4,32,21,11,0,1,-1,-1
coritiba,2008,19,0,32,9,5,5,29,19,10,3,0,3,1
flamengo,2008,19,0,31,9,6,4,30,19,11,1,0,3,1
internacional,2008,19,0,26,7,7,5,21,20,1,0,0,1,-5
fluminense,2008,19,0,16,4,11,4,21,29,-8,0,1,10,-6
náutico,2008,19,0,21,6,10,3,20,29,-9,1,0,1,1
cruzeiro,2008,19,0,36,11,5,3,32,19,13,0,1,5,-1
são paulo,2008,19,0,33,9,4,6,33,21,12,1,0,5,-2
vitória,2008,19,0,32,10,7,2,30,21,9,1,0,1,1
athlético-pr,2008,20,0,23,6,9,5,22,21,1,1,0,1,1
cruzeiro,2008,20,0,39,12,5,3,34,20,14,1,0,6,-2
figueirense,2008,20,0,28,7,6,7,26,36,-10,1,0,5,-6
atlético-mg,2008,20,0,24,6,8,6,25,38,-13,0,2,-2,-16
goiás,2008,20,0,26,7,8,5,26,28,-2,1,0,4,1
grêmio,2008,20,0,44,13,2,5,36,12,24,5,0,11,1
palmeiras,2008,20,0,37,11,5,4,33,21,12,1,0,1,1
flamengo,2008,20,0,32,9,6,5,32,21,11,0,0,4,-1
botafogo-rj,2008,20,0,34,10,6,4,30,19,11,5,0,5,1
internacional,2008,20,0,26,7,8,5,21,24,-3,0,1,-1,-6
goiás,2008,21,0,27,7,8,6,27,29,-2,0,0,5,-1
cruzeiro,2008,21,0,39,12,6,3,34,21,13,0,1,-1,-3
coritiba,2008,21,0,35,10,6,5,32,20,12,1,0,1,1
grêmio,2008,21,0,44,13,3,5,37,14,23,0,1,12,-1
