Time,Temporada,Rodada,Adversario,Vencedor,Mando_de_campo,Mandante Placar,Visitante Placar,Posicao,Pontos,Vitoria,Derrota,Empate,Gols_pro,Gols_contra,Saldo_de_gols,Vitorias_consecutivas,Derrotas_consecutivas,Jogos_marcando,Jogos_sem_sofrer_gols
cruzeiro,2008,1,vitória,cruzeiro,-1,0,2,0,3,1,0,0,2,0,2,1,0,1,1
botafogo-rj,2008,1,sport,botafogo-rj,1,2,0,0,3,1,0,0,2,0,2,1,0,1,1
coritiba,2008,1,palmeiras,coritiba,1,2,0,0,3,1,0,0,2,0,2,1,0,1,1
flamengo,2008,1,santos,flamengo,1,3,1,0,3,1,0,0,3,1,2,1,0,1,-1
grêmio,2008,1,são paulo,grêmio,-1,0,1,0,3,1,0,0,1,0,1,1,0,1,1
athlético-pr,2008,1,ipatinga,athlético-pr,-1,0,1,0,3,1,0,0,1,0,1,1,0,1,1
náutico,2008,1,goiás,náutico,1,2,1,0,3,1,0,0,2,1,1,1,0,1,-1
internacional,2008,1,vasco,internacional,1,1,0,0,3,1,0,0,1,0,1,1,0,1,1
figueirense,2008,1,portuguesa,-,-1,5,5,0,1,0,0,1,5,5,0,0,0,1,-1
fluminense,2008,1,atlético-mg,-,-1,0,0,0,1,0,0,1,0,0,0,0,0,-1,1
portuguesa,2008,1,figueirense,-,1,5,5,0,1,0,0,1,5,5,0,0,0,1,-1
atlético-mg,2008,1,fluminense,-,1,0,0,0,1,0,0,1,0,0,0,0,0,-1,1
goiás,2008,1,náutico,náutico,-1,2,1,0,0,0,1,0,1,2,-1,0,1,1,-1
vasco,2008,1,internacional,internacional,-1,1,0,0,0,0,1,0,0,1,-1,0,1,-1,-1
são paulo,2008,1,grêmio,grêmio,1,0,1,0,0,0,1,0,0,1,-1,0,1,-1,-1
ipatinga,2008,1,athlético-pr,athlético-pr,1,0,1,0,0,0,1,0,0,1,-1,0,1,-1,-1
sport,2008,1,botafogo-rj,botafogo-rj,-1,2,0,0,0,0,1,0,0,2,-2,0,1,-1,-1
palmeiras,2008,1,coritiba,coritiba,-1,2,0,0,0,0,1,0,0,2,-2,0,1,-1,-1
santos,2008,1,flamengo,flamengo,-1,3,1,0,0,0,1,0,1,3,-2,0,1,1,-1
vitória,2008,1,cruzeiro,cruzeiro,1,0,2,0,0,0,1,0,0,2,-2,0,1,-1,-1
náutico,2008,2,fluminense,náutico,-1,0,2,0,6,2,0,0,4,1,3,2,0,2,0
cruzeiro,2008,2,botafogo-rj,cruzeiro,1,1,0,0,6,2,0,0,3,0,3,2,0,2,1
flamengo,2008,2,grêmio,-,-1,0,0,0,4,1,0,1,3,1,2,0,0,-1,0
grêmio,2008,2,flamengo,-,1,0,0,0,4,1,0,1,1,0,1,0,0,-1,1
athlético-pr,2008,2,são paulo,-,1,1,1,0,4,1,0,1,2,1,1,0,0,2,-1
figueirense,2008,2,coritiba,figueirense,1,2,1,0,4,1,0,1,7,6,1,1,0,2,-2
santos,2008,2,ipatinga,santos,1,4,0,0,3,1,1,0,5,3,2,1,0,2,1
coritiba,2008,2,figueirense,figueirense,-1,2,1,0,3,1,1,0,3,2,1,0,1,2,-1
botafogo-rj,2008,2,cruzeiro,cruzeiro,-1,1,0,0,3,1,1,0,2,1,1,0,1,-1,-1
internacional,2008,2,palmeiras,palmeiras,-1,2,1,0,3,1,1,0,2,2,0,0,1,2,-1
palmeiras,2008,2,internacional,palmeiras,1,2,1,0,3,1,1,0,2,3,-1,1,0,1,-2
atlético-mg,2008,2,goiás,-,-1,1,1,0,2,0,0,2,1,1,0,0,0,1,-1
portuguesa,2008,2,vasco,-,-1,3,1,0,2,0,0,2,6,8,-2,0,0,2,-2
vasco,2008,2,portuguesa,-,1,3,1,0,1,0,1,1,3,2,1,0,0,1,-2
são paulo,2008,2,athlético-pr,-,-1,1,1,0,1,0,1,1,1,2,-1,0,0,1,-2
goiás,2008,2,atlético-mg,-,1,1,1,0,1,0,1,1,2,3,-1,0,0,2,-2
vitória,2008,2,sport,-,-1,0,0,0,1,0,1,1,0,2,-2,0,0,-2,0
fluminense,2008,2,náutico,náutico,1,0,2,0,1,0,1,1,0,2,-2,0,1,-2,-1
sport,2008,2,vitória,-,1,0,0,0,1,0,1,1,0,2,-2,0,0,-2,1
ipatinga,2008,2,santos,santos,-1,4,0,0,0,0,2,0,0,5,-5,0,2,-2,-2
cruzeiro,2008,3,santos,cruzeiro,1,4,0,0,9,3,0,0,7,0,7,3,0,3,1
flamengo,2008,3,internacional,flamengo,1,2,1,0,7,2,0,1,5,2,3,1,0,1,-1
grêmio,2008,3,náutico,grêmio,1,2,0,0,7,2,0,1,3,0,3,1,0,1,1
náutico,2008,3,grêmio,grêmio,-1,2,0,0,6,2,1,0,4,3,1,0,1,-1,-1
athlético-pr,2008,3,atlético-mg,-,1,1,1,0,5,1,0,2,3,2,1,0,0,3,-2
vitória,2008,3,figueirense,vitória,1,4,0,0,4,1,1,1,4,2,2,1,0,1,1
coritiba,2008,3,são paulo,-,-1,1,1,0,4,1,1,1,4,3,1,0,0,3,-2
botafogo-rj,2008,3,vasco,-,1,1,1,0,4,1,1,1,3,2,1,0,0,1,-2
palmeiras,2008,3,portuguesa,-,-1,1,1,0,4,1,1,1,3,4,-1,0,0,2,-3
sport,2008,3,fluminense,sport,1,2,1,0,4,1,1,1,2,3,-1,1,0,1,-1
figueirense,2008,3,vitória,vitória,-1,4,0,0,4,1,1,1,7,10,-3,0,1,-1,-3
internacional,2008,3,flamengo,flamengo,-1,2,1,0,3,1,2,0,3,4,-1,0,2,3,-2
santos,2008,3,cruzeiro,cruzeiro,-1,4,0,0,3,1,2,0,5,7,-2,0,1,-1,-1
atlético-mg,2008,3,athlético-pr,-,-1,1,1,0,3,0,0,3,2,2,0,0,0,2,-2
portuguesa,2008,3,palmeiras,-,1,1,1,0,3,0,0,3,7,9,-2,0,0,3,-3
vasco,2008,3,botafogo-rj,-,-1,1,1,0,2,0,1,2,4,3,1,0,0,2,-3
são paulo,2008,3,coritiba,-,1,1,1,0,2,0,1,2,2,3,-1,0,0,2,-3
goiás,2008,3,ipatinga,-,1,1,1,0,2,0,1,2,3,4,-1,0,0,3,-3
fluminense,2008,3,sport,sport,-1,2,1,0,1,0,2,1,1,4,-3,0,2,1,-2
ipatinga,2008,3,goiás,-,-1,1,1,0,1,0,2,1,1,6,-5,0,0,1,-3
cruzeiro,2008,4,coritiba,-,-1,1,1,0,10,3,0,1,8,1,7,0,0,4,-1
flamengo,2008,4,fluminense,flamengo,-1,0,1,0,10,3,0,1,6,2,4,2,0,2,0
náutico,2008,4,botafogo-rj,náutico,1,3,0,0,9,3,1,0,7,3,4,1,0,1,1
grêmio,2008,4,vasco,vasco,-1,2,1,0,7,2,1,1,4,2,2,0,1,2,-1
palmeiras,2008,4,athlético-pr,palmeiras,1,1,0,0,7,2,1,1,4,4,0,1,0,3,1
atlético-mg,2008,4,portuguesa,atlético-mg,1,2,0,0,6,1,0,3,4,2,2,1,0,3,1
vasco,2008,4,grêmio,vasco,1,2,1,0,5,1,1,2,6,4,2,1,0,3,-4
