Time,Temporada,Rodada,Posicao,Pontos,Vitoria,Derrota,Empate,Gols_pro,Gols_contra,Saldo_de_gols,Vitorias_consecutivas,Derrotas_consecutivas,Jogos_marcando,Jogos_sem_sofrer_gols
Flamengo,2005,1,1,3,1,0,0,4,1,3,1,0,1,-1
São Paulo,2005,1,2,3,1,0,0,3,1,2,1,0,1,-1
Botafogo,2005,1,3,3,1,0,0,2,0,2,1,0,1,1
Vasco,2005,1,4,3,1,0,0,3,1,2,1,0,1,-1
Ponte Preta,2005,1,5,3,1,0,0,3,1,2,1,0,1,-1
Figueirense,2005,1,6,3,1,0,0,3,1,2,1,0,1,-1
Atlético-MG,2005,1,7,3,1,0,0,3,1,2,1,0,1,-1
São Caetano,2005,1,8,3,1,0,0,3,1,2,1,0,1,-1
Goiás,2005,1,9,3,1,0,0,3,2,1,1,0,1,-1
Coritiba,2005,1,10,3,1,0,0,1,0,1,1,0,1,1
Palmeiras,2005,1,11,3,1,0,0,3,2,1,1,0,1,-1
Internacional,2005,1,12,0,0,1,0,0,1,-1,0,1,-1,-1
Fluminense,2005,1,13,0,0,1,0,2,3,-1,0,1,1,-1
Corinthians,2005,1,14,0,0,1,0,2,3,-1,0,1,1,-1
Cruzeiro,2005,1,15,0,0,1,0,1,3,-2,0,1,1,-1
Juventude,2005,1,16,0,0,1,0,1,3,-2,0,1,1,-1
Paraná,2005,1,17,0,0,1,0,1,3,-2,0,1,1,-1
Brasiliense,2005,1,18,0,0,1,0,1,3,-2,0,1,1,-1
Santos,2005,1,19,0,0,1,0,1,3,-2,0,1,1,-1
Athletico-PR,2005,1,20,0,0,1,0,1,3,-2,0,1,1,-1
Fortaleza,2005,1,21,0,0,1,0,0,2,-2,0,1,-1,-1
Paysandu,2005,1,22,0,0,1,0,1,4,-3,0,1,1,-1
Figueirense,2005,2,1,6,2,0,0,5,1,4,2,0,2,0
Flamengo,2005,2,2,4,1,0,1,4,1,3,0,0,-1,1
Vasco,2005,2,3,4,1,0,1,3,1,2,0,0,-1,0
Atlético-MG,2005,2,4,4,1,0,1,3,1,2,0,0,-1,1
São Caetano,2005,2,5,4,1,0,1,4,2,2,0,0,2,-2
Coritiba,2005,2,6,4,1,0,1,2,1,1,0,0,2,-1
Goiás,2005,2,7,4,1,0,1,3,2,1,0,0,-1,0
Botafogo,2005,2,8,3,1,1,0,3,2,1,0,1,2,-1
Corinthians,2005,2,9,3,1,1,0,5,4,1,1,0,2,-2
São Paulo,2005,2,10,3,1,1,0,3,2,1,0,1,-1,-2
Ponte Preta,2005,2,11,3,1,1,0,4,4,0,0,1,2,-2
Palmeiras,2005,2,12,3,1,1,0,4,4,0,0,1,2,-2
Paraná,2005,2,13,3,1,1,0,3,3,0,1,0,2,1
Internacional,2005,2,14,3,1,1,0,2,2,0,1,0,1,-2
Juventude,2005,2,15,3,1,1,0,3,4,-1,1,0,2,-2
Athletico-PR,2005,2,16,3,1,1,0,4,5,-1,1,0,2,-2
Fortaleza,2005,2,17,3,1,1,0,1,2,-1,1,0,1,1
Santos,2005,2,18,3,1,1,0,3,4,-1,1,0,2,-2
Fluminense,2005,2,19,0,0,2,0,3,5,-2,0,2,2,-2
Paysandu,2005,2,20,0,0,2,0,3,7,-4,0,2,2,-2
Cruzeiro,2005,2,21,0,0,2,0,1,5,-4,0,2,-1,-2
Brasiliense,2005,2,22,0,0,2,0,1,5,-4,0,2,-1,-2
Vasco,2005,3,1,7,2,0,1,7,1,6,1,0,1,1
Flamengo,2005,3,2,7,2,0,1,5,1,4,1,0,1,1
Atlético-MG,2005,3,3,7,2,0,1,4,1,3,1,0,1,1
Palmeiras,2005,3,4,6,2,1,0,10,6,4,1,0,3,-3
Fortaleza,2005,3,5,6,2,1,0,6,3,3,2,0,2,-1
São Paulo,2005,3,6,6,2,1,0,7,4,3,1,0,1,-3
Figueirense,2005,3,7,6,2,1,0,7,5,2,0,1,3,-1
Botafogo,2005,3,8,6,2,1,0,5,3,2,1,0,3,-2
Juventude,2005,3,9,6,2,1,0,5,5,0,2,0,3,-3
São Caetano,2005,3,10,5,1,0,2,6,4,2,0,0,3,-3
Corinthians,2005,3,11,4,1,1,1,6,5,1,0,0,3,-3
Goiás,2005,3,12,4,1,1,1,4,4,0,0,1,1,-1
Coritiba,2005,3,13,4,1,1,1,2,2,0,0,1,-1,-2
Internacional,2005,3,14,4,1,1,1,3,3,0,0,0,2,-3
Athletico-PR,2005,3,15,4,1,1,1,6,7,-1,0,0,3,-3
Paraná,2005,3,16,3,1,2,0,3,4,-1,0,1,-1,-1
Santos,2005,3,17,3,1,2,0,3,5,-2,0,1,-1,-3
Brasiliense,2005,3,18,3,1,2,0,2,5,-3,1,0,1,1
Ponte Preta,2005,3,19,3,1,2,0,6,10,-4,0,2,3,-3
Cruzeiro,2005,3,20,0,0,3,0,2,7,-5,0,3,1,-3
Fluminense,2005,3,21,0,0,3,0,4,10,-6,0,3,3,-3
Paysandu,2005,3,22,0,0,3,0,3,11,-8,0,3,-1,-3
Flamengo,2005,4,1,10,3,0,1,8,1,7,2,0,2,1
Atlético-MG,2005,4,2,10,3,0,1,6,1,5,2,0,2,1
Figueirense,2005,4,3,9,3,1,0,12,6,6,1,0,4,-2
Palmeiras,2005,4,4,9,3,1,0,13,8,5,2,0,4,-4
São Caetano,2005,4,5,8,2,0,2,7,4,3,1,0,4,1
Goiás,2005,4,6,7,2,1,1,7,4,3,1,0,2,1
Vasco,2005,4,7,7,2,1,1,8,6,2,0,1,2,-1
Internacional,2005,4,8,7,2,1,1,4,3,1,1,0,3,1
Coritiba,2005,4,9,7,2,1,1,4,3,1,1,0,1,-3
Athletico-PR,2005,4,10,7,2,1,1,8,8,0,1,0,4,-4
Fortaleza,2005,4,11,6,2,2,0,6,6,0,0,1,-1,-2
São Paulo,2005,4,12,6,2,2,0,7,7,0,0,1,-1,-4
Botafogo,2005,4,13,6,2,2,0,5,5,0,0,1,-1,-3
Juventude,2005,4,14,6,2,2,0,7,8,-1,0,1,4,-4
Corinthians,2005,4,15,4,1,2,1,6,6,0,0,1,-1,-4
Paraná,2005,4,16,4,1,2,1,3,4,-1,0,0,-2,0
Santos,2005,4,17,4,1,2,1,3,5,-2,0,0,-2,1
Brasiliense,2005,4,18,3,1,3,0,2,6,-4,0,1,-1,-1
Ponte Preta,2005,4,19,3,1,3,0,7,12,-5,0,3,4,-4
Paysandu,2005,4,20,3,1,3,0,5,11,-6,1,0,1,1
Cruzeiro,2005,4,21,0,0,4,0,3,9,-6,0,4,2,-4
Fluminense,2005,4,22,0,0,4,0,4,12,-8,0,4,-1,-4
Atlético-MG,2005,5,1,13,4,0,1,8,1,7,3,0,3,1
Figueirense,2005,5,2,12,4,1,0,13,6,7,2,0,5,1
Palmeiras,2005,5,3,12,4,1,0,15,9,6,3,0,5,-5
Flamengo,2005,5,4,11,3,0,2,10,3,7,0,0,3,-1
Internacional,2005,5,5,10,3,1,1,8,3,5,2,0,4,1
Goiás,2005,5,6,10,3,1,1,11,6,5,2,0,3,-1
Vasco,2005,5,7,10,3,1,1,10,6,4,1,0,3,1
Botafogo,2005,5,8,9,3,2,0,7,5,2,1,0,1,1
Juventude,2005,5,9,9,3,2,0,10,9,1,1,0,5,-5
São Caetano,2005,5,10,8,2,1,2,8,7,1,0,1,5,-1
Corinthians,2005,5,11,7,2,2,1,7,6,1,1,0,1,-3
Coritiba,2005,5,12,7,2,2,1,4,4,0,0,1,-1,-4
Athletico-PR,2005,5,13,7,2,2,1,10,12,-2,0,1,5,-5
Fortaleza,2005,5,14,6,2,3,0,6,7,-1,0,2,-2,-3
São Paulo,2005,5,15,6,2,3,0,8,9,-1,0,2,1,-5
Paraná,2005,5,16,4,1,3,1,3,6,-3,0,1,-3,-1
Ponte Preta,2005,5,17,4,1,3,1,9,14,-5,0,0,5,-5
Santos,2005,5,18,4,1,3,1,3,9,-6,0,1,-3,-1
Brasiliense,2005,5,19,3,1,4,0,2,7,-5,0,2,-2,-2
Cruzeiro,2005,5,20,3,1,4,0,4,9,-5,1,0,3,1
Paysandu,2005,5,21,3,1,4,0,5,13,-8,0,1,-1,-1
Fluminense,2005,5,22,0,0,5,0,4,14,-10,0,5,-2,-5
Flamengo,2005,6,1,14,4,0,2,13,4,9,1,0,4,-2
Goiás,2005,6,2,13,4,1,1,13,7,6,3,0,4,-2
Internacional,2005,6,3,13,4,1,1,10,4,6,3,0,5,-1
Atlético-MG,2005,6,4,13,4,1,1,9,3,6,0,1,4,-1
Vasco,2005,6,5,13,4,1,1,12,7,5,2,0,4,-1
Figueirense,2005,6,6,12,4,2,0,13,8,5,0,1,-1,-1
Palmeiras,2005,6,7,12,4,2,0,15,13,2,0,1,-1,-6
Corinthians,2005,6,8,10,3,2,1,14,7,7,2,0,2,-4
Athletico-PR,2005,6,9,10,3,2,1,14,12,2,1,0,6,1
São Paulo,2005,6,10,9,3,3,0,11,10,1,1,0,2,-6
Fortaleza,2005,6,11,9,3,3,0,9,8,1,1,0,1,-4
