Time,Temporada,Rodada,Posicao,Pontos,Vitoria,Derrota,Empate,Gols_pro,Gols_contra,Saldo_de_gols,Vitorias_consecutivas,Derrotas_consecutivas,Jogos_marcando,Jogos_sem_sofrer_gols
Cruzeiro,2008,1,1,3,1,0,0,2,0,2,1,0,1,1
Flamengo,2008,1,2,3,1,0,0,3,1,2,1,0,1,-1
Coritiba,2008,1,3,3,1,0,0,2,0,2,1,0,1,1
Botafogo,2008,1,4,3,1,0,0,2,0,2,1,0,1,1
Athletico-PR,2008,1,5,3,1,0,0,1,0,1,1,0,1,1
Grêmio,2008,1,6,3,1,0,0,1,0,1,1,0,1,1
Internacional,2008,1,7,3,1,0,0,1,0,1,1,0,1,1
Náutico,2008,1,8,3,1,0,0,2,1,1,1,0,1,-1
Figueirense,2008,1,9,1,0,0,1,5,5,0,0,0,1,-1
Fluminense,2008,1,10,1,0,0,1,0,0,0,0,0,-1,1
Portuguesa,2008,1,11,1,0,0,1,5,5,0,0,0,1,-1
Atlético-MG,2008,1,12,1,0,0,1,0,0,0,0,0,-1,1
Vasco,2008,1,13,0,0,1,0,0,1,-1,0,1,-1,-1
Goiás,2008,1,14,0,0,1,0,1,2,-1,0,1,1,-1
São Paulo,2008,1,15,0,0,1,0,0,1,-1,0,1,-1,-1
Ipatinga,2008,1,16,0,0,1,0,0,1,-1,0,1,-1,-1
Santos,2008,1,17,0,0,1,0,1,3,-2,0,1,1,-1
Palmeiras,2008,1,18,0,0,1,0,0,2,-2,0,1,-1,-1
Sport,2008,1,19,0,0,1,0,0,2,-2,0,1,-1,-1
Vitória,2008,1,20,0,0,1,0,0,2,-2,0,1,-1,-1
Náutico,2008,2,1,6,2,0,0,4,1,3,2,0,2,0
Cruzeiro,2008,2,2,6,2,0,0,3,0,3,2,0,2,1
Flamengo,2008,2,3,4,1,0,1,3,1,2,0,0,-1,0
Athletico-PR,2008,2,4,4,1,0,1,2,1,1,0,0,2,-1
Grêmio,2008,2,5,4,1,0,1,1,0,1,0,0,-1,1
Figueirense,2008,2,6,4,1,0,1,7,6,1,1,0,2,-2
Santos,2008,2,7,3,1,1,0,5,3,2,1,0,2,1
Botafogo,2008,2,8,3,1,1,0,2,1,1,0,1,-1,-1
Coritiba,2008,2,9,3,1,1,0,3,2,1,0,1,2,-1
Vasco,2008,2,10,3,1,1,0,3,2,1,1,0,1,-2
Internacional,2008,2,11,3,1,1,0,2,2,0,0,1,2,-1
Palmeiras,2008,2,12,3,1,1,0,2,3,-1,1,0,1,-2
Atlético-MG,2008,2,13,2,0,0,2,1,1,0,0,0,1,-1
São Paulo,2008,2,14,1,0,1,1,1,2,-1,0,0,1,-2
Goiás,2008,2,15,1,0,1,1,2,3,-1,0,0,2,-2
Portuguesa,2008,2,16,1,0,1,1,6,8,-2,0,1,2,-2
Vitória,2008,2,17,1,0,1,1,0,2,-2,0,0,-2,0
Fluminense,2008,2,18,1,0,1,1,0,2,-2,0,1,-2,-1
Sport,2008,2,19,1,0,1,1,0,2,-2,0,0,-2,1
Ipatinga,2008,2,20,0,0,2,0,0,5,-5,0,2,-2,-2
Cruzeiro,2008,3,1,9,3,0,0,7,0,7,3,0,3,1
Grêmio,2008,3,2,7,2,0,1,3,0,3,1,0,1,1
Flamengo,2008,3,3,7,2,0,1,5,2,3,1,0,1,-1
Náutico,2008,3,4,6,2,1,0,4,3,1,0,1,-1,-1
Athletico-PR,2008,3,5,5,1,0,2,3,2,1,0,0,3,-2
Vitória,2008,3,6,4,1,1,1,4,2,2,1,0,1,1
Coritiba,2008,3,7,4,1,1,1,4,3,1,0,0,3,-2
Vasco,2008,3,8,4,1,1,1,4,3,1,0,0,2,-3
Botafogo,2008,3,9,4,1,1,1,3,2,1,0,0,1,-2
Palmeiras,2008,3,10,4,1,1,1,3,4,-1,0,0,2,-3
Sport,2008,3,11,4,1,1,1,2,3,-1,1,0,1,-1
Figueirense,2008,3,12,4,1,1,1,7,10,-3,0,1,-1,-3
Internacional,2008,3,13,3,1,2,0,3,4,-1,0,2,3,-2
Santos,2008,3,14,3,1,2,0,5,7,-2,0,1,-1,-1
Atlético-MG,2008,3,15,3,0,0,3,2,2,0,0,0,2,-2
Goiás,2008,3,16,2,0,1,2,3,4,-1,0,0,3,-3
São Paulo,2008,3,17,2,0,1,2,2,3,-1,0,0,2,-3
Portuguesa,2008,3,18,2,0,1,2,7,9,-2,0,0,3,-3
Fluminense,2008,3,19,1,0,2,1,1,4,-3,0,2,1,-2
Ipatinga,2008,3,20,1,0,2,1,1,6,-5,0,0,1,-3
Cruzeiro,2008,4,1,10,3,0,1,8,1,7,0,0,4,-1
Flamengo,2008,4,2,10,3,0,1,6,2,4,2,0,2,0
Náutico,2008,4,3,9,3,1,0,7,3,4,1,0,1,1
Vasco,2008,4,4,7,2,1,1,6,4,2,1,0,3,-4
Grêmio,2008,4,5,7,2,1,1,4,2,2,0,1,2,-1
Palmeiras,2008,4,6,7,2,1,1,4,4,0,1,0,3,1
Atlético-MG,2008,4,7,6,1,0,3,4,2,2,1,0,3,1
Coritiba,2008,4,8,5,1,1,2,5,4,1,0,0,4,-3
Athletico-PR,2008,4,9,5,1,1,2,3,3,0,0,1,-1,-3
Sport,2008,4,10,5,1,1,2,3,4,-1,0,0,2,-2
Figueirense,2008,4,11,5,1,1,2,7,10,-3,0,0,-2,1
