Temporada,Rodada,Mandante,Visitante,Mandante Placar,Visitante Placar
2005,1,São Paulo,Athletico-PR,3,1
2005,1,Juventude,Atlético-MG,1,3
2005,1,Figueirense,Santos,3,1
2005,1,Ponte Preta,Brasiliense,3,1
2005,1,Paysandu,Flamengo,1,4
2005,1,Vasco,Paraná,3,1
2005,1,Coritiba,Internacional,1,0
2005,1,Botafogo,Fortaleza,2,0
2005,1,Cruzeiro,São Caetano,1,3
2005,1,Palmeiras,Fluminense,3,2
2005,1,Goiás,Corinthians,3,2
2005,2,Santos,Botafogo,2,1
2005,2,Internacional,Palmeiras,2,1
2005,2,Paraná,Cruzeiro,2,0
2005,2,São Caetano,Coritiba,1,1
2005,2,Fortaleza,São Paulo,1,0
2005,2,Flamengo,Goiás,0,0
2005,2,Athletico-PR,Paysandu,3,2
2005,2,Fluminense,Juventude,1,2
2005,2,Atlético-MG,Vasco,0,0
2005,2,Corinthians,Ponte Preta,3,1
2005,2,Brasiliense,Figueirense,0,2
2005,3,São Paulo,Figueirense,4,2
2005,3,Juventude,Goiás,2,1
2005,3,Brasiliense,Santos,1,0
2005,3,Paraná,Flamengo,0,1
2005,3,Vasco,Paysandu,4,0
2005,3,Athletico-PR,São Caetano,2,2
2005,3,Atlético-MG,Coritiba,1,0
2005,3,Corinthians,Internacional,1,1
2005,3,Ponte Preta,Palmeiras,2,6
2005,3,Fortaleza,Fluminense,5,1
2005,3,Botafogo,Cruzeiro,2,1
2005,4,Flamengo,Fortaleza,3,0
2005,4,Palmeiras,Juventude,3,2
2005,4,Internacional,Brasiliense,1,0
2005,4,Goiás,São Paulo,3,0
2005,4,Santos,Paraná,0,0
2005,4,Figueirense,Vasco,5,1
2005,4,São Caetano,Corinthians,1,0
2005,4,Coritiba,Ponte Preta,2,1
2005,4,Fluminense,Atlético-MG,0,2
2005,4,Cruzeiro,Athletico-PR,1,2
2005,4,Paysandu,Botafogo,2,0
2005,5,Figueirense,Fortaleza,1,0
2005,5,Paysandu,Atlético-MG,0,2
2005,5,Botafogo,Paraná,2,0
2005,5,Palmeiras,São Paulo,2,1
2005,5,Ponte Preta,Flamengo,2,2
2005,5,Coritiba,Corinthians,0,1
2005,5,Goiás,Athletico-PR,4,2
2005,5,Santos,Internacional,0,4
2005,5,Juventude,São Caetano,3,1
2005,5,Vasco,Fluminense,2,0
2005,5,Cruzeiro,Brasiliense,1,0
2005,6,São Paulo,Juventude,3,1
2005,6,Fortaleza,Cruzeiro,3,1
2005,6,Internacional,Ponte Preta,2,1
2005,6,Paraná,Paysandu,2,0
2005,6,São Caetano,Vasco,1,2
2005,6,Flamengo,Botafogo,3,1
2005,6,Corinthians,Santos,7,1
2005,6,Athletico-PR,Palmeiras,4,0
2005,6,Fluminense,Figueirense,2,0
2005,6,Atlético-MG,Goiás,1,2
2005,6,Brasiliense,Coritiba,1,1
2005,7,São Paulo,Atlético-MG,2,2
2005,7,Juventude,Fortaleza,2,0
2005,7,Ponte Preta,Santos,2,1
2005,7,Cruzeiro,Corinthians,2,1
2005,7,Goiás,Fluminense,1,2
2005,7,Coritiba,Figueirense,4,1
2005,7,Paraná,Internacional,3,1
2005,7,Vasco,Athletico-PR,2,1
2005,7,Botafogo,São Caetano,1,0
2005,7,Palmeiras,Flamengo,0,1
2005,7,Paysandu,Brasiliense,2,1
2005,8,Figueirense,Juventude,4,3
2005,8,Fortaleza,Goiás,1,1
2005,8,Santos,Cruzeiro,1,2
2005,8,Athletico-PR,Paraná,2,1
2005,8,Atlético-MG,Palmeiras,1,3
2005,8,Corinthians,Vasco,1,1
2005,8,São Caetano,São Paulo,0,1
2005,8,Fluminense,Ponte Preta,4,3
2005,8,Brasiliense,Botafogo,0,0
2005,8,Internacional,Paysandu,1,0
2005,8,Flamengo,Coritiba,2,1
2005,9,Coritiba,Cruzeiro,0,3
2005,9,Goiás,Internacional,0,1
2005,9,Atlético-MG,Fortaleza,2,3
2005,9,Palmeiras,Figueirense,2,2
2005,9,Juventude,Flamengo,2,2
2005,9,Vasco,Santos,1,3
2005,9,São Paulo,Brasiliense,1,2
2005,9,Ponte Preta,Botafogo,0,1
2005,9,Paysandu,Corinthians,0,2
2005,9,Fluminense,Athletico-PR,4,1
2005,9,Paraná,São Caetano,1,3
2005,10,São Caetano,Fluminense,2,2
2005,10,Brasiliense,Goiás,1,2
2005,10,Fortaleza,Palmeiras,1,1
2005,10,Vasco,Flamengo,2,1
2005,10,Athletico-PR,Atlético-MG,2,0
2005,10,Corinthians,Paraná,1,0
2005,10,Juventude,Internacional,2,1
2005,10,Figueirense,Ponte Preta,4,0
2005,10,Cruzeiro,Paysandu,4,3
2005,10,São Paulo,Santos,1,2
2005,10,Botafogo,Coritiba,2,0
2005,11,Fortaleza,Paysandu,1,2
2005,11,Fluminense,Botafogo,3,2
2005,11,Brasiliense,Juventude,1,0
2005,11,Internacional,Vasco,3,1
2005,11,Flamengo,São Paulo,1,6
2005,11,Atlético-MG,Cruzeiro,0,1
2005,11,Palmeiras,Corinthians,1,1
2005,11,Figueirense,Paraná,2,0
2005,11,Coritiba,Athletico-PR,1,2
2005,11,Santos,Goiás,1,1
2005,11,Ponte Preta,São Caetano,1,2
2005,12,Paraná,Fluminense,6,1
2005,12,Botafogo,Palmeiras,1,2
2005,12,Corinthians,Fortaleza,3,0
2005,12,Juventude,Santos,3,1
2005,12,Cruzeiro,Figueirense,4,0
2005,12,Goiás,Vasco,4,3
2005,12,São Paulo,Ponte Preta,3,2
2005,12,São Caetano,Internacional,1,1
2005,12,Paysandu,Coritiba,2,1
2005,12,Flamengo,Atlético-MG,1,2
2005,12,Athletico-PR,Brasiliense,4,0
2005,13,Santos,São Caetano,2,0
2005,13,Ponte Preta,Juventude,3,2
2005,13,Coritiba,Goiás,0,2
2005,13,Atlético-MG,Paraná,0,1
2005,13,Figueirense,Botafogo,1,0
2005,13,Fortaleza,Athletico-PR,1,4
2005,13,Vasco,Cruzeiro,3,3
2005,13,Palmeiras,Paysandu,5,3
2005,13,Internacional,São Paulo,3,0
2005,13,Fluminense,Corinthians,0,2
2005,13,Brasiliense,Flamengo,2,3
2005,14,Paraná,Coritiba,3,2
2005,14,Cruzeiro,Juventude,2,0
2005,14,Goiás,Ponte Preta,4,1
2005,14,Paysandu,Figueirense,3,1
2005,14,Santos,Fortaleza,0,0
2005,14,São Caetano,Atlético-MG,3,1
2005,14,Internacional,Fluminense,2,2
2005,14,Vasco,Palmeiras,0,0
2005,14,Corinthians,Brasiliense,3,2
2005,14,Athletico-PR,Flamengo,2,0
2005,14,Botafogo,São Paulo,1,1
2005,15,São Paulo,Paysandu,4,1
2005,15,Brasiliense,São Caetano,1,1
2005,15,Fortaleza,Paraná,2,2
2005,15,Juventude,Botafogo,0,0
2005,15,Figueirense,Athletico-PR,2,0
2005,15,Ponte Preta,Cruzeiro,2,3
2005,15,Flamengo,Corinthians,1,3
2005,15,Coritiba,Vasco,2,0
2005,15,Fluminense,Santos,4,3
2005,15,Atlético-MG,Internacional,1,1
2005,15,Palmeiras,Goiás,3,1
2005,16,São Caetano,Figueirense,0,1
2005,16,Fortaleza,Internacional,1,2
2005,16,Paraná,Brasiliense,4,1
2005,16,Goiás,Paysandu,4,1
2005,16,Santos,Palmeiras,2,1
2005,16,Fluminense,Flamengo,2,2
2005,16,Cruzeiro,São Paulo,2,3
2005,16,Juventude,Coritiba,0,0
2005,16,Vasco,Ponte Preta,0,0
2005,16,Athletico-PR,Botafogo,2,0
2005,16,Corinthians,Atlético-MG,1,1
2005,17,Ponte Preta,Paraná,1,0
2005,17,Paysandu,Juventude,3,0
2005,17,Flamengo,São Caetano,2,0
2005,17,Palmeiras,Cruzeiro,2,1
2005,17,São Paulo,Vasco,4,2
2005,17,Internacional,Athletico-PR,3,2
2005,17,Figueirense,Corinthians,2,3
2005,17,Botafogo,Goiás,3,1
2005,17,Brasiliense,Fortaleza,0,2
2005,17,Coritiba,Fluminense,0,0
2005,17,Atlético-MG,Santos,3,0
2005,18,São Caetano,Paysandu,1,2
2005,18,Fluminense,Brasiliense,3,0
2005,18,Goiás,Cruzeiro,1,0
2005,18,Internacional,Figueirense,3,0
2005,18,Paraná,Palmeiras,1,3
2005,18,Vasco,Juventude,5,2
2005,18,Corinthians,Athletico-PR,2,0
2005,18,Santos,Flamengo,0,0
2005,18,Ponte Preta,Fortaleza,2,1
2005,18,Coritiba,São Paulo,1,4
2005,18,Atlético-MG,Botafogo,0,2
2005,19,São Paulo,Corinthians,3,2
2005,19,Figueirense,Goiás,3,0
2005,19,Fortaleza,São Caetano,5,2
2005,19,Botafogo,Vasco,2,2
2005,19,Brasiliense,Atlético-MG,1,2
2005,19,Juventude,Paraná,2,0
2005,19,Paysandu,Ponte Preta,2,2
2005,19,Athletico-PR,Santos,3,3
2005,19,Cruzeiro,Fluminense,2,6
2005,19,Flamengo,Internacional,1,1
2005,19,Palmeiras,Coritiba,1,1
2005,20,São Caetano,Goiás,0,1
2005,20,Athletico-PR,Juventude,2,2
2005,20,Brasiliense,Palmeiras,3,2
2005,20,Internacional,Cruzeiro,4,1
2005,20,Paraná,São Paulo,0,4
2005,20,Flamengo,Figueirense,2,2
2005,20,Atlético-MG,Ponte Preta,1,0
2005,20,Corinthians,Botafogo,3,3
2005,20,Santos,Coritiba,2,0
2005,20,Fortaleza,Vasco,4,2
2005,20,Fluminense,Paysandu,5,2
2005,21,Ponte Preta,Athletico-PR,0,2
2005,21,Palmeiras,São Caetano,2,1
2005,21,Vasco,Brasiliense,1,0
2005,21,Goiás,Paraná,1,1
2005,21,São Paulo,Fluminense,1,1
2005,21,Juventude,Corinthians,1,0
2005,21,Paysandu,Santos,2,3
2005,21,Cruzeiro,Flamengo,0,0
2005,21,Figueirense,Atlético-MG,0,1
2005,21,Coritiba,Fortaleza,2,0
2005,21,Botafogo,Internacional,0,1
2005,22,Atlético-MG,Juventude,2,1
2005,22,São Caetano,Cruzeiro,0,1
2005,22,Athletico-PR,São Paulo,4,2
2005,22,Brasiliense,Ponte Preta,4,0
2005,22,Internacional,Coritiba,3,2
2005,22,Paraná,Vasco,0,0
2005,22,Fluminense,Palmeiras,2,2
2005,22,Corinthians,Goiás,1,1
2005,22,Flamengo,Paysandu,2,1
2005,22,Santos,Figueirense,4,3
2005,22,Fortaleza,Botafogo,3,1
2005,23,Coritiba,São Caetano,2,2
2005,23,Palmeiras,Internacional,3,2
2005,23,Paysandu,Athletico-PR,2,1
2005,23,Figueirense,Brasiliense,2,2
2005,23,Ponte Preta,Corinthians,3,5
2005,23,Vasco,Atlético-MG,2,1
2005,23,Cruzeiro,Paraná,0,1
2005,23,Goiás,Flamengo,2,0
2005,23,São Paulo,Fortaleza,3,2
2005,23,Juventude,Fluminense,2,0
2005,23,Botafogo,Santos,3,3
2005,24,São Caetano,Athletico-PR,3,2
2005,24,Paysandu,Vasco,0,2
2005,24,Coritiba,Atlético-MG,1,0
2005,24,Palmeiras,Ponte Preta,2,1
2005,24,Internacional,Corinthians,0,0
2005,24,Figueirense,São Paulo,3,1
2005,24,Cruzeiro,Botafogo,4,1
2005,24,Santos,Brasiliense,1,1
2005,24,Flamengo,Paraná,1,1
2005,24,Goiás,Juventude,1,0
2005,24,Fluminense,Fortaleza,2,0
2005,25,Botafogo,Paysandu,2,0
2005,25,Athletico-PR,Cruzeiro,5,4
2005,25,Corinthians,São Caetano,0,2
2005,25,Juventude,Palmeiras,1,2
2005,25,Paraná,Santos,1,1
2005,25,Fortaleza,Flamengo,2,1
2005,25,Vasco,Figueirense,2,1
2005,25,São Paulo,Goiás,0,1
2005,25,Brasiliense,Internacional,0,0
2005,25,Ponte Preta,Coritiba,0,3
2005,25,Atlético-MG,Fluminense,1,2
2005,26,Brasiliense,Cruzeiro,1,2
2005,26,São Caetano,Juventude,1,1
2005,26,Athletico-PR,Goiás,1,0
2005,26,Atlético-MG,Paysandu,2,2
2005,26,Corinthians,Coritiba,3,0
2005,26,Internacional,Santos,0,1
2005,26,Paraná,Botafogo,2,0
2005,26,Flamengo,Ponte Preta,1,0
2005,26,São Paulo,Palmeiras,3,3
2005,26,Fortaleza,Figueirense,5,2
2005,26,Fluminense,Vasco,3,2
2005,27,Cruzeiro,Fortaleza,3,0
2005,27,Goiás,Atlético-MG,3,1
2005,27,Vasco,São Caetano,3,2
2005,27,Santos,Corinthians,4,2
2005,27,Figueirense,Fluminense,1,1
2005,27,Ponte Preta,Internacional,1,1
2005,27,Botafogo,Flamengo,0,2
2005,27,Coritiba,Brasiliense,1,1
2005,27,Paysandu,Paraná,3,4
2005,27,Juventude,São Paulo,2,1
2005,27,Palmeiras,Athletico-PR,1,1
2005,28,Fortaleza,Juventude,2,0
2005,28,São Caetano,Botafogo,0,1
2005,28,Fluminense,Goiás,1,1
2005,28,Corinthians,Cruzeiro,4,3
2005,28,Santos,Ponte Preta,0,1
2005,28,Athletico-PR,Vasco,7,2
2005,28,Atlético-MG,São Paulo,0,0
2005,28,Internacional,Paraná,0,2
2005,28,Figueirense,Coritiba,0,0
2005,28,Flamengo,Palmeiras,0,0
2005,28,Brasiliense,Paysandu,0,0
2005,29,Paraná,Athletico-PR,2,0
2005,29,Botafogo,Brasiliense,1,1
2005,29,Goiás,Fortaleza,2,1
2005,29,São Paulo,São Caetano,0,1
2005,29,Juventude,Figueirense,1,4
2005,29,Vasco,Corinthians,2,3
2005,29,Coritiba,Flamengo,3,2
2005,29,Palmeiras,Atlético-MG,1,0
2005,29,Paysandu,Internacional,1,2
2005,29,Ponte Preta,Fluminense,2,1
2005,29,Cruzeiro,Santos,3,2
2005,30,São Caetano,Paraná,1,1
2005,30,Botafogo,Ponte Preta,4,2
2005,30,Internacional,Goiás,2,3
2005,30,Fortaleza,Atlético-MG,1,4
2005,30,Athletico-PR,Fluminense,3,2
2005,30,Santos,Vasco,2,3
2005,30,Figueirense,Palmeiras,1,4
2005,30,Brasiliense,São Paulo,3,3
2005,30,Flamengo,Juventude,3,4
2005,30,Cruzeiro,Coritiba,2,2
2005,30,Corinthians,Paysandu,3,2
2005,31,Ponte Preta,Figueirense,2,1
2005,31,Goiás,Brasiliense,1,3
2005,31,Paysandu,Cruzeiro,1,2
2005,31,Paraná,Corinthians,2,3
2005,31,Fluminense,São Caetano,0,1
2005,31,Santos,São Paulo,2,1
2005,31,Flamengo,Vasco,1,0
2005,31,Coritiba,Botafogo,0,3
2005,31,Atlético-MG,Athletico-PR,2,3
2005,31,Palmeiras,Fortaleza,1,2
2005,31,Internacional,Juventude,5,2
2005,32,Juventude,Brasiliense,2,1
2005,32,Paraná,Figueirense,3,0
2005,32,Paysandu,Fortaleza,1,2
2005,32,São Paulo,Flamengo,2,0
2005,32,São Caetano,Ponte Preta,2,1
2005,32,Botafogo,Fluminense,1,2
2005,32,Corinthians,Palmeiras,3,1
2005,32,Goiás,Santos,3,4
2005,32,Vasco,Internacional,2,4
2005,32,Athletico-PR,Coritiba,1,0
2005,32,Cruzeiro,Atlético-MG,2,1
2005,33,Coritiba,Paysandu,3,1
2005,33,Fluminense,Paraná,0,1
2005,33,Ponte Preta,São Paulo,1,0
2005,33,Vasco,Goiás,1,2
2005,33,Figueirense,Cruzeiro,0,0
2005,33,Fortaleza,Corinthians,2,1
2005,33,Atlético-MG,Flamengo,3,1
2005,33,Brasiliense,Athletico-PR,2,1
2005,33,Internacional,São Caetano,2,1
2005,33,Santos,Juventude,0,0
2005,33,Palmeiras,Botafogo,4,1
2005,34,Juventude,Ponte Preta,1,3
2005,34,Paraná,Atlético-MG,1,0
2005,34,São Paulo,Internacional,1,3
