Temporada,Rodada,Mandante,Visitante,Mandante Placar,Visitante Placar
2008,1,atlético-mg,fluminense,0,0
2008,1,botafogo-rj,sport,2,0
2008,1,coritiba,palmeiras,2,0
2008,1,flamengo,santos,3,1
2008,1,internacional,vasco,1,0
2008,1,ipatinga,athlético-pr,0,1
2008,1,náutico,goiás,2,1
2008,1,portuguesa,figueirense,5,5
2008,1,são paulo,grêmio,0,1
2008,1,vitória,cruzeiro,0,2
2008,2,athlético-pr,são paulo,1,1
2008,2,cruzeiro,botafogo-rj,1,0
2008,2,figueirense,coritiba,2,1
2008,2,fluminense,náutico,0,2
2008,2,goiás,atlético-mg,1,1
2008,2,grêmio,flamengo,0,0
2008,2,palmeiras,internacional,2,1
2008,2,santos,ipatinga,4,0
2008,2,sport,vitória,0,0
2008,2,vasco,portuguesa,3,1
2008,3,athlético-pr,atlético-mg,1,1
2008,3,botafogo-rj,vasco,1,1
2008,3,cruzeiro,santos,4,0
2008,3,flamengo,internacional,2,1
2008,3,goiás,ipatinga,1,1
2008,3,grêmio,náutico,2,0
2008,3,portuguesa,palmeiras,1,1
2008,3,sport,fluminense,2,1
2008,3,são paulo,coritiba,1,1
2008,3,vitória,figueirense,4,0
2008,4,atlético-mg,portuguesa,2,0
2008,4,coritiba,cruzeiro,1,1
2008,4,figueirense,goiás,0,0
2008,4,fluminense,flamengo,0,1
2008,4,internacional,sport,1,1
2008,4,ipatinga,vitória,2,0
2008,4,náutico,botafogo-rj,3,0
2008,4,palmeiras,athlético-pr,1,0
2008,4,santos,são paulo,0,0
2008,4,vasco,grêmio,2,1
2008,5,athlético-pr,goiás,5,0
2008,5,botafogo-rj,coritiba,2,1
2008,5,cruzeiro,vasco,1,0
2008,5,flamengo,figueirense,5,0
2008,5,grêmio,fluminense,2,1
2008,5,ipatinga,náutico,0,0
2008,5,portuguesa,internacional,3,1
2008,5,sport,palmeiras,2,0
2008,5,são paulo,atlético-mg,5,1
2008,5,vitória,santos,1,0
2008,6,atlético-mg,ipatinga,4,2
2008,6,coritiba,vitória,0,0
2008,6,figueirense,sport,3,1
2008,6,flamengo,são paulo,2,4
2008,6,fluminense,santos,1,1
2008,6,goiás,grêmio,0,3
2008,6,internacional,botafogo-rj,2,1
2008,6,náutico,vasco,1,1
2008,6,palmeiras,cruzeiro,5,2
2008,6,portuguesa,athlético-pr,1,0
2008,7,botafogo-rj,portuguesa,0,1
2008,7,coritiba,fluminense,2,1
2008,7,cruzeiro,figueirense,3,0
2008,7,grêmio,athlético-pr,3,0
2008,7,ipatinga,flamengo,1,3
2008,7,náutico,atlético-mg,2,1
2008,7,santos,goiás,0,4
2008,7,são paulo,sport,1,0
2008,7,vasco,palmeiras,0,2
2008,7,vitória,internacional,2,1
2008,8,athlético-pr,coritiba,1,1
2008,8,cruzeiro,são paulo,1,1
2008,8,figueirense,atlético-mg,1,1
2008,8,fluminense,botafogo-rj,0,0
2008,8,grêmio,internacional,1,1
2008,8,palmeiras,náutico,2,0
2008,8,portuguesa,santos,0,0
2008,8,sport,flamengo,1,2
2008,8,vasco,ipatinga,4,2
2008,8,vitória,goiás,3,0
2008,9,athlético-pr,santos,1,0
2008,9,atlético-mg,palmeiras,1,1
2008,9,botafogo-rj,grêmio,2,0
2008,9,figueirense,vasco,2,1
2008,9,flamengo,náutico,3,0
2008,9,goiás,fluminense,1,0
2008,9,internacional,coritiba,3,0
2008,9,portuguesa,vitória,1,2
2008,9,sport,cruzeiro,1,0
2008,9,são paulo,ipatinga,1,1
2008,10,atlético-mg,flamengo,1,1
2008,10,coritiba,portuguesa,4,0
2008,10,fluminense,athlético-pr,3,0
2008,10,internacional,goiás,1,0
2008,10,ipatinga,cruzeiro,2,2
2008,10,náutico,são paulo,2,1
2008,10,palmeiras,figueirense,1,1
2008,10,santos,grêmio,1,1
2008,10,vasco,sport,4,0
2008,10,vitória,botafogo-rj,5,2
2008,11,athlético-pr,internacional,1,1
2008,11,cruzeiro,atlético-mg,2,1
2008,11,flamengo,vasco,3,1
2008,11,fluminense,vitória,2,1
2008,11,goiás,coritiba,2,2
2008,11,grêmio,portuguesa,2,1
2008,11,ipatinga,figueirense,0,1
2008,11,náutico,sport,0,2
2008,11,santos,botafogo-rj,2,2
2008,11,são paulo,palmeiras,2,1
2008,12,botafogo-rj,ipatinga,4,0
